,names,address,neighborhood,yr_start,yr_end, capacity , capacity_med ,acg,"lfh (live,film,hybrid)",precision,lat,long
51,Ivonette Theatro,"Av. Celso Garcia, 238",Belenzinho,1920,1920,,,A,L,street,"-23,538076","-46,601937"
52,"União Lapa, Salão do",R. 12 de Outubro,Lapa,1920,1920,,,A,L,street,"-23,517469","-46,70305"
53,Sociedade Italiana,"R. Moóca, 508",Alto da Moóca,1921,1921,,,A,L,street,"-23,554812","-46,59989"
54,"Opera, Casa da; Theatro do Largo do Palacio; Theatro Publico; Theatro de São Paulo",Largo da Fundição,Centro,1795,1870, 350 , 350 ,C,L,street,"-23,54838","-46,632642"
55,"Batuíra, Theatro","R. da Cruz Preta, 4",Centro,1864,1867, 200 , 200 ,C,L,street,"-23,549962","-46,634892"
56,"Provisorio, Theatro; Ginasio Dramático; Theatro das Variedades Paulistanas; Sociedade Congresso Ginastico Português; Minerva; Apollo",R. Boa Vista,Centro,1873,1899,,,C,L,exact,"-23,546489","-46,633519"
57,Polytheama,"R. São João, 20",Centro,1892,1914," 946-3,000 ", 1.973 ,C,H,exact,"-23,544911","-46,635849"
58,Progredior; Paulicéa,"R. 15 de Novembro, 38",Centro,1897,1917,,,C,H,exact,"-23,54669","-46,634016"
59,–––,"R. dos Italianos, 1",Bom Retiro,1898,1899, 100 , 100 ,C,L,exact,"-23,529409","-46,640963"
60,Eldorado,"R./Av. São João, 15, 19, 21",Centro,1899,1914, 325-400 , 363 ,C,H,exact,"-23,545002","-46,635731"
61,"New York em São Paulo, Salão","R. 15 de Novembro, 58",Centro,1899,1900,,,C,H,exact,"-23,5459","-46,634373"
62,"Paulista, Cinema; Salão Alhambra","R. Senador Feijó, 2",Centro,1899,1910,,,C,H,street,"-23,550018","-46,635678"
63,Casino Paulistano,"R. do Carmo, 38-A",Centro,1900,1900,,,C,L,street,"-23,549314","-46,632276"
64,Cineographo Lubin,"R. 15 de Novembro, 63",Centro,1900,1902,,,C,H,exact,"-23,54598","-46,634594"
65,Paulicea Phantastica; Paris em São Paulo,"R. do Rosário, 5",Centro,1900,1904, 100 , 100 ,C,H,exact,"-23,545466","-46,634349"
66,"Rotisserie Sportsman, Salão de; Radium; Cinematographo Paulista","R. São Bento, 59-61",Centro,1900,1914,,,C,H,exact,"-23,545827","-46,635202"
67,Santana,"R. Boa Vista, 20",Centro,1900,1912, 1.186 , 1.186 ,C,H,exact,"-23,546489","-46,633519"
68,Olavo Bilac; Apollo,"Av. Rangel Pestana, 227-A",Belenzinho,1905,1907,,,C,H,exact,"-23,54267","-46,616899"
69,Moulin Rouge; Theatro Avenida; Carlos Gomes; Variedades; Royal Theatre,"R. São João, 161, 115",Santa Ifigênia,1906,1929," 980-1,100 ", 1.040 ,C,H,exact,"-23,543398","-46,638842"
70,Iris Theatre; Kinema,"R. 15 de Novembro, 52",Centro,1907,1917, 420 , 420 ,C,F,exact,"-23,546043","-46,634155"
71,Novo Seculo,"Largo de São Bento, 10",Centro,1907,1907,,,C,L,street,"-23,544304","-46,634488"
72,Colombo,Largo da Concórdia,Brás,1908,1966," 1,968-2,200 ", 2.084 ,C,H,exact,"-23,541668","-46,616702"
73,Edison Cinema,"R. da Estação, 71 = R. Mauá, 191-193",Bom Retiro,1908,1914, 200-540 , 370 ,C,H,street,"-23,535387","-46,635921"
74,"Guarany, Salão","R. do Lavapés, 13",Liberdade,1908,1909,,,C,F,street,"-23,561903","-46,622233"
75,High-Life; Cinetheatro Brasil; São Carlos,"Largo do Arouche, 65, 63, 57-A, 26",Santa Cecília,1908,1924, 1.036 , 1.036 ,C,H,street,"-23,541093","-46,646833"
76,João Minhoca,"R. Barra Funda, 158",Barra Funda,1908,1908,,,C,L,street,"-23,527331","-46,657957"
77,Mignon Theatre,"R. do Seminário, 10-12",Centro,1908,1909,,,C,H,exact,"-23,54447","-46,635331"
78,Palace,"Ladeira do Piques, 7-A = R. Quirino de Andrade, 7-A",Centro,1908,1908,,,C,F,exact,"-23,548193","-46,639352"
79,Paris Theatre,"R. Anhangabaú, 12-14",Centro,1908,1909,,,C,F,exact,"-23,543484","-46,634903"
80,Penha,"R. Campos Salles, 23, 25 = R. da Penha, 25",Penha,1908,1914,,,C,F,street,"-23,525413","-46,549257"
81,"Petit Santana, Theatro","R. Voluntarios da Patria, 459,467,  469",Santana,1908,1917,,,C,H,street,"-23,49698","-46,62619"
82,"Popular, Cinema","Av. Rangel Pestana, 140, 168, 170",Brás,1908,1913,,,C,H,exact,"-23,54463","-46,618931"
83,American Cinema,"R. Barra Funda, 151",Barra Funda,1909,1909, 81 , 81 ,C,H,street,"-23,528282","-46,657835"
84,"Brasil, Cinema","R. dos Andradas, 53",Santa Ifigênia,1909,1913, 150 , 150 ,C,F,exact,"-23,535763","-46,63998"
85,Casino; Apollo,"R. Dom José de Barros, 8 = R. 11 de Julho, 8; R. 24 de Maio, 40, 188",Centro,1909,1962," 1,138-1,544 ", 1.341 ,C,H,exact,"-23,543371","-46,63973"
86,"Choueiri, Antonio; Shoneiri","R. Vergueiro, 4",Liberdade,1909,1909, 100 , 100 ,C,F,street,"-23,563233","-46,638671"
87,Eden Cinema; Lirico Cinema,"R. São Bento, 33",Centro,1909,1909, 1.200 , 1.200 ,C,F,exact,"-23,546949","-46,635723"
88,Ideal Cinema,"R. Barão de Itapetininga, 44",Centro,1909,1909,,,C,F,exact,"-23,543883","-46,640665"
89,Paris Theatre,"R. Direita, 29",Centro,1909,1910,,,C,F,exact,"-23,548583","-46,635168"
90,Pavilhão dos Campos Elyseos; Coliseu dos Campos Elyseos; Theatro Colyseu,"Al. Barão do Rio Branco, 57",Campos Elíseos,1909,1924, 2.000 , 2.000 ,C,H,exact,"-23,532702","-46,645478"
91,Petit Cinema; Cinema Odeon,"R. Marquez de Itú, 50-50A",Vila Buarque,1909,1910,,,C,H,street,"-23,543648","-46,647565"
92,Royal Cinema,"R. São Lázaro, 19",Luz,1909,1910,,,C,F,street,"-23,534786","-46,628562"
93,"Santos, José Pereira dos","R. dos Imigrantes, 120",Bom Retiro,1909,1909,,,C,F,street,"-23,530399","-46,639617"
94,"São José, Theatro","R. Xavier de Toledo, 1",Centro,1909,1924," 2,322-3,000 ", 2.661 ,C,H,street,"-23,546343","-46,638917"
95,Smart; Cinematographica Brasileira; Cinema Guarany,"Largo do Arouche, 26, 31, 94",Vila Buarque,1909,1921, 730 , 730 ,C,F,exact,"-23,541066","-46,646154"
96,"Avenida, Theatro","Av. Brigadeiro Luiz Antonio, 56",Liberdade,1910,1912,,,C,H,street,"-23,55272","-46,637796"
97,"Braz Bijou, Salão Cinema","Av. Rangel Pestana, 148, 118",Brás,1910,1917, 750-850 , 800 ,C,H,exact,"-23,544831","-46,619136"
98,Chantecler; Rio Branco,"R. General Ozorio, 73, 75, 77",Santa Ifigênia,1910,1925, 800 , 800 ,C,F,exact,"-23,536995","-46,640545"
99,Congresso,"R. do Theatro, 9-11 = Praça João Mendes, 9-11",Centro,1910,1929, 438-515 , 477 ,C,F,exact,"-23,551421","-46,634854"
100,Ideal Cinema,"R. do Gazometro, 35-37",Brás,1910,1914,,,C,F,exact,"-23,543925","-46,624352"
101,"Piratininga, Salão Cinema; Eclair","R. Piratininga, 118",Brás,1910,1913,,,C,F,street,"-23,549355","-46,617793"
102,Royal Cinema,"R. Lopes de Oliveira, 53",Barra Funda,1910,1910,,,C,F,street,"-23,532585","-46,655897"
