,names,address,neighborhood,yr_start,yr_end, capacity , capacity_med ,acg,"lfh (live,film,hybrid)",precision,lat,long,number
54,"Opera, Casa da; Theatro do Largo do Palacio; Theatro Publico; Theatro de São Paulo",largo da fundição,Centro,1795,1870, 350 , 350 ,C,L,street,"-23,54838","-46,632642",
55,"Batuíra, Theatro",rua da cruz preta,Centro,1864,1867, 200 , 200 ,C,L,street,"-23,549962","-46,634892",4
56,"Provisorio, Theatro; Ginasio Dramático; Theatro das Variedades Paulistanas; Sociedade Congresso Ginastico Português; Minerva; Apollo",rua boa vista,Centro,1873,1899,,,C,L,exact,"-23,546489","-46,633519",
57,Polytheama,rua são joão,Centro,1892,1914," 946-3,000 ", 1.973 ,C,H,exact,"-23,544911","-46,635849",20
58,Progredior; Paulicéa,rua 15 de novembro,Centro,1897,1917,,,C,H,exact,"-23,54669","-46,634016",38
59,–––,rua dos italianos,Bom Retiro,1898,1899, 100 , 100 ,C,L,exact,"-23,529409","-46,640963",1
60,Eldorado,rua/avenida são joão,Centro,1899,1914, 325-400 , 363 ,C,H,exact,"-23,545002","-46,635731","15, 19, 21"
61,"New York em São Paulo, Salão",rua 15 de novembro,Centro,1899,1900,,,C,H,exact,"-23,5459","-46,634373",58
62,"Paulista, Cinema; Salão Alhambra",rua senador feijó,Centro,1899,1910,,,C,H,street,"-23,550018","-46,635678",2
63,Casino Paulistano,rua do carmo,Centro,1900,1900,,,C,L,street,"-23,549314","-46,632276",38-a
64,Cineographo Lubin,rua 15 de novembro,Centro,1900,1902,,,C,H,exact,"-23,54598","-46,634594",63
65,Paulicea Phantastica; Paris em São Paulo,rua do rosário,Centro,1900,1904, 100 , 100 ,C,H,exact,"-23,545466","-46,634349",5
66,"Rotisserie Sportsman, Salão de; Radium; Cinematographo Paulista",rua são bento,Centro,1900,1914,,,C,H,exact,"-23,545827","-46,635202",59-61
67,Santana,rua boa vista,Centro,1900,1912, 1.186 , 1.186 ,C,H,exact,"-23,546489","-46,633519",20
68,Olavo Bilac; Apollo,avenida rangel pestana,Belenzinho,1905,1907,,,C,H,exact,"-23,54267","-46,616899",227-a
69,Moulin Rouge; Theatro Avenida; Carlos Gomes; Variedades; Royal Theatre,rua são joão,Santa Ifigênia,1906,1929," 980-1,100 ", 1.040 ,C,H,exact,"-23,543398","-46,638842","161, 115"
70,Iris Theatre; Kinema,rua 15 de novembro,Centro,1907,1917, 420 , 420 ,C,F,exact,"-23,546043","-46,634155",52
71,Novo Seculo,largo de são bento,Centro,1907,1907,,,C,L,street,"-23,544304","-46,634488",10
72,Colombo,largo da concórdia,Brás,1908,1966," 1,968-2,200 ", 2.084 ,C,H,exact,"-23,541668","-46,616702",
73,Edison Cinema,rua da estação,Bom Retiro,1908,1914, 200-540 , 370 ,C,H,street,"-23,535387","-46,635921","71 = r. mauá, 191-193"
74,"Guarany, Salão",rua do lavapés,Liberdade,1908,1909,,,C,F,street,"-23,561903","-46,622233",13
75,High-Life; Cinetheatro Brasil; São Carlos,largo do arouche,Santa Cecília,1908,1924, 1.036 , 1.036 ,C,H,street,"-23,541093","-46,646833","65, 63, 57-a, 26"
76,João Minhoca,rua barra funda,Barra Funda,1908,1908,,,C,L,street,"-23,527331","-46,657957",158
77,Mignon Theatre,rua do seminário,Centro,1908,1909,,,C,H,exact,"-23,54447","-46,635331",10-12
78,Palace,ladeira do piques,Centro,1908,1908,,,C,F,exact,"-23,548193","-46,639352","7-a = rua quirino de andrade, 7-a"
79,Paris Theatre,rua anhangabaú,Centro,1908,1909,,,C,F,exact,"-23,543484","-46,634903",12-14
80,Penha,rua campos salles,Penha,1908,1914,,,C,F,street,"-23,525413","-46,549257","23, 25 = r. da penha, 25"
81,"Petit Santana, Theatro",rua voluntarios da patria,Santana,1908,1917,,,C,H,street,"-23,49698","-46,62619","459,467,  469"
82,"Popular, Cinema",avenida rangel pestana,Brás,1908,1913,,,C,H,exact,"-23,54463","-46,618931","140, 168, 170"
83,American Cinema,rua barra funda,Barra Funda,1909,1909, 81 , 81 ,C,H,street,"-23,528282","-46,657835",151
84,"Brasil, Cinema",rua dos andradas,Santa Ifigênia,1909,1913, 150 , 150 ,C,F,exact,"-23,535763","-46,63998",53
85,Casino; Apollo,rua dom josé de barros,Centro,1909,1962," 1,138-1,544 ", 1.341 ,C,H,exact,"-23,543371","-46,63973","8 = r. 11 de julho, 8; r. 24 de maio, 40, 188"
86,"Choueiri, Antonio; Shoneiri",rua vergueiro,Liberdade,1909,1909, 100 , 100 ,C,F,street,"-23,563233","-46,638671",4
87,Eden Cinema; Lirico Cinema,rua são bento,Centro,1909,1909, 1.200 , 1.200 ,C,F,exact,"-23,546949","-46,635723",33
88,Ideal Cinema,rua barão de itapetininga,Centro,1909,1909,,,C,F,exact,"-23,543883","-46,640665",44
89,Paris Theatre,rua direita,Centro,1909,1910,,,C,F,exact,"-23,548583","-46,635168",29
90,Pavilhão dos Campos Elyseos; Coliseu dos Campos Elyseos; Theatro Colyseu,al. barão do rio branco,Campos Elíseos,1909,1924, 2.000 , 2.000 ,C,H,exact,"-23,532702","-46,645478",57
91,Petit Cinema; Cinema Odeon,rua marquez de itú,Vila Buarque,1909,1910,,,C,H,street,"-23,543648","-46,647565",50-50a
92,Royal Cinema,rua são lázaro,Luz,1909,1910,,,C,F,street,"-23,534786","-46,628562",19
93,"Santos, José Pereira dos",rua dos imigrantes,Bom Retiro,1909,1909,,,C,F,street,"-23,530399","-46,639617",120
94,"São José, Theatro",rua xavier de toledo,Centro,1909,1924," 2,322-3,000 ", 2.661 ,C,H,street,"-23,546343","-46,638917",1
95,Smart; Cinematographica Brasileira; Cinema Guarany,largo do arouche,Vila Buarque,1909,1921, 730 , 730 ,C,F,exact,"-23,541066","-46,646154","26, 31, 94"
96,"Avenida, Theatro",avenida brigadeiro luiz antonio,Liberdade,1910,1912,,,C,H,street,"-23,55272","-46,637796",56
97,"Braz Bijou, Salão Cinema",avenida rangel pestana,Brás,1910,1917, 750-850 , 800 ,C,H,exact,"-23,544831","-46,619136","148, 118"
98,Chantecler; Rio Branco,rua general ozorio,Santa Ifigênia,1910,1925, 800 , 800 ,C,F,exact,"-23,536995","-46,640545","73, 75, 77"
99,Congresso,rua do theatro,Centro,1910,1929, 438-515 , 477 ,C,F,exact,"-23,551421","-46,634854","9-11 = praça joão mendes, 9-11"
100,Ideal Cinema,rua do gazometro,Brás,1910,1914,,,C,F,exact,"-23,543925","-46,624352",35-37
101,"Piratininga, Salão Cinema; Eclair",rua piratininga,Brás,1910,1913,,,C,F,street,"-23,549355","-46,617793",118
102,Royal Cinema,rua lopes de oliveira,Barra Funda,1910,1910,,,C,F,street,"-23,532585","-46,655897",53
103,São João,rua são joão,Santa Cecília,1910,1910,,,C,F,street,"-23,537156","-46,648641",371
104,"São Paulo, Theatro, Pavilhão",largo de são paulo,Liberdade,1910,1912,,,C,H,street,"-23,557166","-46,633126",18
105,"America, Cinema; Biographo Variedades; Cinema Biograph; American",rua da consolação,Consolação,1911,1947, 450-802 , 626 ,C,H,street,"-23,552755","-46,659666",324-326
106,Amerikan Cinema; American Cinema; Cinema Celso Garcia,avenida celso garcia,Belenzinho,1911,1917, 350-520 , 435 ,C,F,street,"-23,539846","-46,609809","40-44, 44-46"
107,Belém; Melitta; Santa Terezinha,avenida celso garcia,Belenzinho,1911,1960," 1,245-1,700 ", 1.473 ,C,H,street,"-23,537559","-46,597363","228, 225, 328, 340, 360"
108,Bijou Aurora; Santa Ephigenhia Theatre; Progredior; The Berlim Cinema; Aurora Theatre; Cinema Aurora,rua aurora,Santa Ifigênia,1911,1914,,,C,H,exact,"-23,538911","-46,63809",59
109,Bijou Oriente; Flor do Oriente; Cinema Estrella; Cinema Oriente,rua oriente,Brás,1911,1919, 350-600 , 475 ,C,F,street,"-23,537574","-46,619628",41
110,Cinema das Familias; Cinema Grátis,avenida rangel pestana,Brás,1911,1912, 300-520 , 410 ,C,F,exact,"-23,545786","-46,620937",126
111,Eldorado Cinema; Casino Paulista; Eden-Theatre; Bijou Theatre,rua quintino bocaiuva,Centro,1911,1917, 272 , 272 ,C,H,exact,"-23,551022","-46,635001",39
112,"Familiar, Cinema",rua general jardim,Vila Buarque,1911,1914,,,C,F,exact,"-23,544729","-46,647385",57
113,Isis Theatre; Gloria,rua do gazometro,Brás,1911,1970," 750-1,360 ", 1.055 ,C,H,exact,"-23,543815","-46,623957",47
114,Liberdade Theatre,rua da liberdade,Liberdade,1911,1913, 520 , 520 ,C,F,street,"-23,555352","-46,635733","34, 38"
115,"Oriente, Pavilhão, Cinema",rua henrique dias,Brás,1911,1913, 1.800 , 1.800 ,C,H,exact,"-23,536732","-46,620148",44
116,Palace Theatre; Palacio Theatro; Theatro Rink; Rink Theatre; Rink Avenida,avenida brigadeiro luiz antonio,Liberdade,1911,1924," 1,725-2,155 ", 1.940 ,C,H,exact,"-23,554023","-46,637642",69-a
117,"Recreio Cinema, Pavilhão",rua major diogo,Bexiga,1911,1916, 870-930 , 900 ,C,F,street,"-23,555545","-46,642534",39
118,Recreio da Barra Funda,rua barra funda,Barra Funda,1911,1912,,,C,H,street,"-23,531924","-46,654089",
119,Salão Cinema; Central; Café Guarany,avenida rangel pestana,Brás,1911,1914, 600 , 600 ,C,H,exact,"-23,545915","-46,621065",122
120,Star Cinema,"""near bondes stop""",Lapa,1911,1911,,,C,F,street,"-23,519736","-46,701498",
121,Te-Be; Guayanazes,rua duque de caxias,Campos Elíseos,1911,1913,,,C,H,exact,"-23,536884","-46,642631",83-87
122,"Ambrósio, Cinema",rua das flores,Centro,1912,1913,,,C,F,street,"-23,551706","-46,631609",68-70
123,"Carlos Gomes, Cinema",rua são joão,Santa Cecília,1912,1912,,,C,F,street,"-23,536685","-46,649025","389, 382"
124,Casino Antarctica,rua anhangabaú,Santa Ifigênia,1912,1939," 1,386-1,700 ", 1.543 ,C,H,exact,"-23,541477","-46,634803","59-63, 67"
125,Eden Cinema; Isola,rua são caetano,Luz,1912,1921,,,C,F,street,"-23,534441","-46,631715","11, 15"
126,Élite,rua barão de iguape,Liberdade,1912,1913,,,C,F,street,"-23,558717","-46,635615",
